#R1,R2,Energy
1.099999979,1.099999979,2.799999952
1.099999979,1.299999982,2.799999952
1.099999979,1.499999985,2.337960478
1.099999979,1.699999988,1.87383774
1.099999979,1.899999991,1.560816857
1.099999979,2.099999994,1.33786041
1.099999979,2.299999997,1.174078917
1.099999979,2.5,1.051455619
1.099999979,2.700000003,0.958025428
1.099999979,2.900000006,0.885553508
1.099999979,3.100000009,0.828622576
1.099999979,3.300000012,0.78389708
1.099999979,3.500000015,0.749318949
1.099999979,3.700000018,0.723377221
1.099999979,3.900000021,0.704633088
1.099999979,4.100000024,0.691563833
1.099999979,4.300000027,0.682651232
1.099999979,4.50000003,0.676565148
1.099999979,4.700000033,0.672304591
1.099999979,4.900000036,0.669228431
1.099999979,5.100000039,0.666985535
1.099999979,5.300000042,0.665399193
1.099999979,5.500000045,0.664362915
1.099999979,5.700000048,0.663778735
1.099999979,5.900000051,0.663538997
1.099999979,6.100000054,0.663534564
1.099999979,6.300000057,0.663669974
1.099999979,6.50000006,0.663873387
1.099999979,6.700000063,0.664098092
1.099999979,6.900000066,0.664317995
1.099999979,7.100000069,0.664520986
1.099999979,7.300000072,0.664703007
1.099999979,7.500000075,0.664863944
1.099999979,7.700000077,0.665005287
1.099999979,7.90000008,0.665129008
1.099999979,8.100000083,0.665237098
1.099999979,8.300000086,0.665331419
1.099999979,8.500000089,0.665413662
1.099999979,8.700000092,0.665485337
1.099999979,8.900000095,0.665547782
1.299999982,1.099999979,2.799999952
1.299999982,1.299999982,1.911707716
1.299999982,1.499999985,1.290860817
1.299999982,1.699999988,0.937425675
1.299999982,1.899999991,0.71598774
1.299999982,2.099999994,0.563394039
1.299999982,2.299999997,0.450423972
1.299999982,2.5,0.362723277
1.299999982,2.700000003,0.292481824
1.299999982,2.900000006,0.235256995
1.299999982,3.100000009,0.188655028
1.299999982,3.300000012,0.15144825
1.299999982,3.500000015,0.122809853
1.299999982,3.700000018,0.10177285
1.299999982,3.900000021,8.70E-02
1.299999982,4.100000024,7.71E-02
1.299999982,4.300000027,7.03E-02
1.299999982,4.50000003,6.57E-02
1.299999982,4.700000033,6.24E-02
1.299999982,4.900000036,5.99E-02
1.299999982,5.100000039,5.81E-02
1.299999982,5.300000042,5.68E-02
1.299999982,5.500000045,5.61E-02
1.299999982,5.700000048,5.58E-02
1.299999982,5.900000051,5.57E-02
1.299999982,6.100000054,5.58E-02
1.299999982,6.300000057,5.60E-02
1.299999982,6.50000006,5.63E-02
1.299999982,6.700000063,5.65E-02
1.299999982,6.900000066,5.67E-02
1.299999982,7.100000069,5.69E-02
1.299999982,7.300000072,5.71E-02
1.299999982,7.500000075,5.73E-02
1.299999982,7.700000077,5.74E-02
1.299999982,7.90000008,5.75E-02
1.299999982,8.100000083,5.76E-02
1.299999982,8.300000086,5.77E-02
1.299999982,8.500000089,5.78E-02
1.299999982,8.700000092,5.79E-02
1.299999982,8.900000095,5.79E-02
1.499999985,1.099999979,2.337960478
1.499999985,1.299999982,1.290860817
1.499999985,1.499999985,0.794056427
1.499999985,1.699999988,0.556399535
1.499999985,1.899999991,0.43432289
1.499999985,2.099999994,0.360113605
1.499999985,2.299999997,0.304705207
1.499999985,2.5,0.257070836
1.499999985,2.700000003,0.21384113
1.499999985,2.900000006,0.174728598
1.499999985,3.100000009,0.140570717
1.499999985,3.300000012,0.112310306
1.499999985,3.500000015,9.04E-02
1.499999985,3.700000018,7.44E-02
1.499999985,3.900000021,6.35E-02
1.499999985,4.100000024,5.62E-02
1.499999985,4.300000027,5.13E-02
1.499999985,4.50000003,4.79E-02
1.499999985,4.700000033,4.54E-02
1.499999985,4.900000036,4.35E-02
1.499999985,5.100000039,4.22E-02
1.499999985,5.300000042,4.14E-02
1.499999985,5.500000045,4.10E-02
1.499999985,5.700000048,4.09E-02
1.499999985,5.900000051,4.10E-02
1.499999985,6.100000054,4.12E-02
1.499999985,6.300000057,4.14E-02
1.499999985,6.50000006,4.17E-02
1.499999985,6.700000063,4.19E-02
1.499999985,6.900000066,4.22E-02
1.499999985,7.100000069,4.23E-02
1.499999985,7.300000072,4.25E-02
1.499999985,7.500000075,4.27E-02
1.499999985,7.700000077,4.28E-02
1.499999985,7.90000008,4.29E-02
1.499999985,8.100000083,4.30E-02
1.499999985,8.300000086,4.31E-02
1.499999985,8.500000089,4.32E-02
1.499999985,8.700000092,4.33E-02
1.499999985,8.900000095,4.33E-02
1.699999988,1.099999979,1.87383774
1.699999988,1.299999982,0.937425675
1.699999988,1.499999985,0.556399535
1.699999988,1.699999988,0.431940032
1.699999988,1.899999991,0.41318943
1.699999988,2.099999994,0.425438011
1.699999988,2.299999997,0.436424862
1.699999988,2.5,0.436444475
1.699999988,2.700000003,0.425959844
1.699999988,2.900000006,0.408939304
1.699999988,3.100000009,0.389740296
1.699999988,3.300000012,0.371768555
1.699999988,3.500000015,0.356999028
1.699999988,3.700000018,0.346022497
1.699999988,3.900000021,0.338437524
1.699999988,4.100000024,0.333378282
1.699999988,4.300000027,0.329967373
1.699999988,4.50000003,0.327567108
1.699999988,4.700000033,0.325823283
1.699999988,4.900000036,0.324581334
1.699999988,5.100000039,0.323773073
1.699999988,5.300000042,0.323338347
1.699999988,5.500000045,0.323197794
1.699999988,5.700000048,0.323260517
1.699999988,5.900000051,0.323442498
1.699999988,6.100000054,0.323679583
1.699999988,6.300000057,0.323930555
1.699999988,6.50000006,0.324173106
1.699999988,6.700000063,0.324397409
1.699999988,6.900000066,0.324600474
1.699999988,7.100000069,0.324782442
1.699999988,7.300000072,0.324944625
1.699999988,7.500000075,0.325088653
1.699999988,7.700000077,0.32521617
1.699999988,7.90000008,0.325328757
1.699999988,8.100000083,0.325427912
1.699999988,8.300000086,0.325515049
1.699999988,8.500000089,0.325591494
1.699999988,8.700000092,0.32565848
1.699999988,8.900000095,0.32571714
1.899999991,1.099999979,1.560816857
1.899999991,1.299999982,0.71598774
1.899999991,1.499999985,0.43432289
1.899999991,1.699999988,0.41318943
1.899999991,1.899999991,0.494931683
1.899999991,2.099999994,0.598315673
1.899999991,2.299999997,0.684576446
1.899999991,2.5,0.741430226
1.899999991,2.700000003,0.771079108
1.899999991,2.900000006,0.781260563
1.899999991,3.100000009,0.780138689
1.899999991,3.300000012,0.774081117
1.899999991,3.500000015,0.767099907
1.899999991,3.700000018,0.761137072
1.899999991,3.900000021,0.756715523
1.899999991,4.100000024,0.753633011
1.899999991,4.300000027,0.751488027
1.899999991,4.50000003,0.749957385
1.899999991,4.700000033,0.748863342
1.899999991,4.900000036,0.748127828
1.899999991,5.100000039,0.747705196
1.899999991,5.300000042,0.747542241
1.899999991,5.500000045,0.747571789
1.899999991,5.700000048,0.747724448
1.899999991,5.900000051,0.747941795
1.899999991,6.100000054,0.748182705
1.899999991,6.300000057,0.748422618
1.899999991,6.50000006,0.748649153
1.899999991,6.700000063,0.748857305
1.899999991,6.900000066,0.749045868
1.899999991,7.100000069,0.749215322
1.899999991,7.300000072,0.749366799
1.899999991,7.500000075,0.749501641
1.899999991,7.700000077,0.749621237
1.899999991,7.90000008,0.749726964
1.899999991,8.100000083,0.749820161
1.899999991,8.300000086,0.749902119
1.899999991,8.500000089,0.749974066
1.899999991,8.700000092,0.75003716
1.899999991,8.900000095,0.750092469
