#R1	R2	Energy
2.5	8.900000095	2.189720411
2.700000003	8.900000095	2.622820809
2.900000006	8.900000095	2.799999952
3.100000009	8.900000095	2.799999952
3.300000012	8.900000095	2.799999952
3.500000015	8.900000095	2.799999952
3.700000018	8.900000095	2.799999952
3.900000021	8.900000095	2.799999952
4.100000024	8.900000095	2.799999952
4.300000027	8.900000095	2.799999952
4.50000003	8.900000095	2.799999952
4.700000033	8.900000095	2.799999952
4.900000036	8.900000095	2.799999952
5.100000039	8.900000095	2.799999952
5.300000042	8.900000095	2.799999952
5.500000045	8.900000095	2.799999952
5.700000048	8.900000095	2.799999952
5.900000051	8.900000095	2.799999952
6.100000054	8.900000095	2.799999952
6.300000057	8.900000095	2.799999952
6.50000006	8.900000095	2.799999952
6.700000063	8.900000095	2.799999952
6.900000066	8.900000095	2.799999952
7.100000069	8.900000095	2.799999952
7.300000072	8.900000095	2.799999952
7.500000075	8.900000095	2.799999952
7.700000077	8.900000095	2.799999952
7.90000008	8.900000095	2.799999952
8.100000083	8.900000095	2.799999952
8.300000086	8.900000095	2.799999952
8.500000089	8.900000095	2.799999952
8.700000092	8.900000095	2.799999952
8.900000095	8.900000095	2.799999952
1.099999979	1.099999979	2.799999952
1.099999979	1.299999982	2.799999952
1.099999979	1.499999985	2.337960478
1.099999979	1.699999988	1.87383774
1.099999979	1.899999991	1.560816857
1.099999979	2.099999994	1.33786041
1.099999979	2.299999997	1.174078917
1.099999979	2.5	1.051455619
1.099999979	2.700000003	0.958025428
1.099999979	2.900000006	0.885553508
1.099999979	3.100000009	0.828622576
1.099999979	3.300000012	0.78389708
1.099999979	3.500000015	0.749318949
1.099999979	3.700000018	0.723377221
1.099999979	3.900000021	0.704633088
1.099999979	4.100000024	0.691563833
1.099999979	4.300000027	0.682651232
1.099999979	4.50000003	0.676565148
1.099999979	4.700000033	0.672304591
1.099999979	4.900000036	0.669228431
1.099999979	5.100000039	0.666985535
1.099999979	5.300000042	0.665399193
1.099999979	5.500000045	0.664362915
1.099999979	5.700000048	0.663778735
1.099999979	5.900000051	0.663538997
1.099999979	6.100000054	0.663534564
1.099999979	6.300000057	0.663669974
1.099999979	6.50000006	0.663873387
1.099999979	6.700000063	0.664098092
1.099999979	6.900000066	0.664317995
1.099999979	7.100000069	0.664520986
1.099999979	7.300000072	0.664703007
1.099999979	7.500000075	0.664863944
1.099999979	7.700000077	0.665005287
1.099999979	7.90000008	0.665129008
1.099999979	8.100000083	0.665237098
1.099999979	8.300000086	0.665331419
1.099999979	8.500000089	0.665413662
1.099999979	8.700000092	0.665485337
1.099999979	8.900000095	0.665547782
4.50000003	1.099999979	0.676565148
4.50000003	1.299999982	6.57E-02
4.50000003	1.499999985	4.79E-02
4.50000003	1.699999988	0.327567108
4.50000003	1.899999991	0.749957385
4.50000003	2.099999994	1.229686724
4.50000003	2.299999997	1.717979326
4.50000003	2.5	2.186433505
4.50000003	2.700000003	2.618585267
4.50000003	2.900000006	2.799999952
4.50000003	3.100000009	2.799999952
4.50000003	3.300000012	2.799999952
4.50000003	3.500000015	2.799999952
4.50000003	3.700000018	2.799999952
4.50000003	3.900000021	2.799999952
4.50000003	4.100000024	2.799999952
4.50000003	4.300000027	2.799999952
4.50000003	4.50000003	2.799999952
4.50000003	4.700000033	2.799999952
4.50000003	4.900000036	2.799999952
4.50000003	5.100000039	2.799999952
4.50000003	5.300000042	2.799999952
4.50000003	5.500000045	2.799999952
4.50000003	5.700000048	2.799999952
4.50000003	5.900000051	2.799999952
4.50000003	6.100000054	2.799999952
4.50000003	6.300000057	2.799999952
4.50000003	6.50000006	2.799999952
4.50000003	6.700000063	2.799999952
4.50000003	6.900000066	2.799999952
4.50000003	7.100000069	2.799999952
4.50000003	7.300000072	2.799999952
4.50000003	7.500000075	2.799999952
4.50000003	7.700000077	2.799999952
4.50000003	7.90000008	2.799999952
4.50000003	8.100000083	2.799999952
4.50000003	8.300000086	2.799999952
4.50000003	8.500000089	2.799999952
4.50000003	8.700000092	2.799999952
4.50000003	8.900000095	2.799999952
8.900000095	1.099999979	0.665547782
8.900000095	1.299999982	5.79E-02
8.900000095	1.499999985	4.33E-02
8.900000095	1.699999988	0.32571714
8.900000095	1.899999991	0.750092469
8.900000095	2.099999994	1.231173395
8.900000095	2.299999997	1.720427255
8.900000095	2.5	2.189720411
8.900000095	2.700000003	2.622820809
8.900000095	2.900000006	2.799999952
8.900000095	3.100000009	2.799999952
8.900000095	3.300000012	2.799999952
8.900000095	3.500000015	2.799999952
8.900000095	3.700000018	2.799999952
8.900000095	3.900000021	2.799999952
8.900000095	4.100000024	2.799999952
8.900000095	4.300000027	2.799999952
8.900000095	4.50000003	2.799999952
8.900000095	4.700000033	2.799999952
8.900000095	4.900000036	2.799999952
8.900000095	5.100000039	2.799999952
8.900000095	5.300000042	2.799999952
8.900000095	5.500000045	2.799999952
